File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
11,Alaska,256356,49.1
11,Arizona,2841364,51.2
11,Arkansas,980085,43.8
11,California,17489568,58.6
11,Colorado,2104083,47.3
11,Connecticut,1329415,48.8
11,Delaware,366233,49.1
11,District of Columbia,202290,37.3
11,Florida,8699638,51.2
11,Georgia,3532408,44.8
11,Hawaii,594789,55.8
11,Idaho,567330,42.3
11,Illinois,4979668,52.5
11,Indiana,2527838,50.5
11,Iowa,932859,39.9
11,Kansas,975587,45.8
11,Kentucky,1613269,48.4
11,Louisiana,1865288,54.6
11,Maine,496415,46.9
11,Maryland,2232372,49.1
11,Massachusetts,2707677,51.4
11,Michigan,4238259,56
11,Minnesota,2082627,49.3
11,Mississippi,1227535,56.2
